common_voice_s1_0|শিশুসাহিত্যিক হিসাবেও তাঁর পরিচিতি ছিল|শিশুসাহিত্যিক হিসাবেও তাঁর পরিচিতি ছিল
common_voice_s1_1|বেনামে যৌনতা স্থাপনের জন্য ইন্টারনেট একটি প্রাথমিক বাহন|বেনামে যৌনতা স্থাপনের জন্য ইন্টারনেট একটি প্রাথমিক বাহন
common_voice_s1_2|কিছুদিন পরই খেলার জগৎ থেকে অবসর নেন|কিছুদিন পরই খেলার জগৎ থেকে অবসর নেন
common_voice_s1_3|তিনি দলটির ভাইস-চেয়ারম্যানের দায়িত্ব পালন করেছেন|তিনি দলটির ভাইস-চেয়ারম্যানের দায়িত্ব পালন করেছেন
common_voice_s1_4|এর অল্প কিছুদিন পরে তিনি মারা যান|এর অল্প কিছুদিন পরে তিনি মারা যান
common_voice_s1_5|প্রথম সম্রাট, অগাস্টাস, দৃঢ়ভাবে রাজকীয় স্বীকৃতি প্রত্যাখ্যাত করেন|প্রথম সম্রাট, অগাস্টাস, দৃঢ়ভাবে রাজকীয় স্বীকৃতি প্রত্যাখ্যাত করেন
common_voice_s1_6|তিনি নূতন স্কুল ইন্দোর থেকে তাঁর স্কুল পড়াশোনা করেছিলেন এবং সেখান থেকেই তিনি উচ্চমাধ্যমিক শেষ করেছেন|তিনি নূতন স্কুল ইন্দোর থেকে তাঁর স্কুল পড়াশোনা করেছিলেন এবং সেখান থেকেই তিনি উচ্চমাধ্যমিক শেষ করেছেন
common_voice_s1_7|এদের প্রধান বিস্তার হল বাংলাদেশ, ভুটান, চীন, ভারত, লাওস, মায়ানমার, নেপাল, তাইওয়ান এবং ভিয়েতনাম|এদের প্রধান বিস্তার হল বাংলাদেশ, ভুটান, চীন, ভারত, লাওস, মায়ানমার, নেপাল, তাইওয়ান এবং ভিয়েতনাম
common_voice_s1_8|দ্রুত অ্যান্টিজেন পরীক্ষাগুলি গণ পরীক্ষা বা জনসংখ্যা বিস্তৃত স্ক্রিনিং পদ্ধতির অংশ হিসাবে তাদের সর্বোত্তম ব্যবহার খুঁজে পেয়েছে|দ্রুত অ্যান্টিজেন পরীক্ষাগুলি গণ পরীক্ষা বা জনসংখ্যা বিস্তৃত স্ক্রিনিং পদ্ধতির অংশ হিসাবে তাদের সর্বোত্তম ব্যবহার খুঁজে পেয়েছে
common_voice_s1_9|ইঞ্জিনিয়ারিং স্ট্রেস বা প্রকৃত স্ট্রেস কিনা তার উপর নির্ভর করে ক্ষেত্রফল টি অপরিবর্তিত বা বিকৃত হতে পারে|ইঞ্জিনিয়ারিং স্ট্রেস বা প্রকৃত স্ট্রেস কিনা তার উপর নির্ভর করে ক্ষেত্রফল টি অপরিবর্তিত বা বিকৃত হতে পারে
